label,fooled_count,mean_margin_drop,mean_linf
frog,52,13.503944351122929,0.02783857572537202
ship,47,15.923724255663283,0.02920791950631649
cat,41,6.826507742811994,0.02546555130946927
airplane,36,9.116201559702555,0.02676929657657941
horse,35,13.911348874228342,0.028143491063799177
bird,30,10.705302508672078,0.027346122513214745
dog,26,9.263194230886606,0.024942666865312137
truck,24,15.265142599741617,0.03045904915779829
deer,24,10.143960575262705,0.02671756533284982
automobile,23,12.749129336813223,0.02970323225726252
