epoch,train_loss,train_clean_acc,train_fgsm_acc,test_clean_acc,test_fgsm_acc,robust_score,lr,eps_255,clean_weight,adv_weight
1,1.1317097783660888,85.002,34.742,78.08,40.96,59.519999999999996,0.0009755282581475768,8.0,0.5,0.5
2,0.8972574699783326,86.406,49.272,71.89999999999999,42.809999999999995,57.35499999999999,0.0009045084971874736,8.0,0.5,0.5
3,0.6507996943664551,86.724,68.34599999999999,71.98,59.91,65.945,0.0007938926261462366,8.0,0.5,0.5
4,0.46646922058105467,87.91600000000001,80.54,76.74,33.89,55.315,0.0006545084971874737,8.0,0.5,0.5
5,0.39585264709472656,89.062,84.288,78.02,60.629999999999995,69.32499999999999,0.0005,8.0,0.5,0.5
6,0.34524037302017213,90.39,86.494,76.41,57.89,67.15,0.00034549150281252633,8.0,0.5,0.5
7,0.2881195096874237,91.77199999999999,88.77000000000001,80.16,62.470000000000006,71.315,0.0002061073738537635,8.0,0.5,0.5
8,0.2427055944919586,93.262,90.49199999999999,80.49,69.34,74.91499999999999,9.549150281252634e-05,8.0,0.5,0.5
9,0.21702502457618714,94.488,91.178,82.5,64.0,73.25,2.4471741852423235e-05,8.0,0.5,0.5
10,0.19490442503929137,95.184,91.948,83.33,69.1,76.215,0.0,8.0,0.5,0.5
