experiment,attack_name,method_label,source_model,target_model,eps_255,alpha_255,steps,total_samples,clean_acc,adv_acc,asr
white-box,fgsm,White-box FGSM,Model B,Model B,2.0,2.0,10,10000,91.53999999999999,31.71,65.35940572427354
white-box,pgd,White-box PGD,Model B,Model B,2.0,2.0,10,10000,91.53999999999999,14.95,83.66834170854271
white-box,deepfool,White-box DeepFool,Model B,Model B,2.0,2.0,10,10000,91.53999999999999,49.89,51.08149442866507
transfer,fgsm,Transfer FGSM,Model A,Model B,2.0,2.0,10,10000,91.53999999999999,74.49,18.65850994100939
transfer,pgd,Transfer PGD,Model A,Model B,2.0,2.0,10,10000,91.53999999999999,75.1,17.992134585973346
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,2.0,2.0,10,10000,91.53999999999999,70.96000000000001,22.558444395892508
white-box,fgsm,White-box FGSM,Model B,Model B,4.0,2.0,10,10000,91.53999999999999,15.920000000000002,82.61961983832205
white-box,pgd,White-box PGD,Model B,Model B,4.0,2.0,10,10000,91.53999999999999,1.67,98.17566091326196
white-box,deepfool,White-box DeepFool,Model B,Model B,4.0,2.0,10,10000,91.53999999999999,27.46,75.67183744811011
transfer,fgsm,Transfer FGSM,Model A,Model B,4.0,2.0,10,10000,91.53999999999999,58.32000000000001,36.36661568713131
transfer,pgd,Transfer PGD,Model A,Model B,4.0,2.0,10,10000,91.53999999999999,51.4,43.8824557570461
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,4.0,2.0,10,10000,91.53999999999999,42.53,53.53943631199476
white-box,fgsm,White-box FGSM,Model B,Model B,8.0,2.0,10,10000,91.53999999999999,11.97,86.95652173913044
white-box,pgd,White-box PGD,Model B,Model B,8.0,2.0,10,10000,91.53999999999999,0.22999999999999998,99.74874371859298
white-box,deepfool,White-box DeepFool,Model B,Model B,8.0,2.0,10,10000,91.53999999999999,17.47,86.6397203408346
transfer,fgsm,Transfer FGSM,Model A,Model B,8.0,2.0,10,10000,91.53999999999999,38.96,57.734323792877426
transfer,pgd,Transfer PGD,Model A,Model B,8.0,2.0,10,10000,91.53999999999999,20.94,77.1356783919598
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,8.0,2.0,10,10000,91.53999999999999,12.78,86.06073847498361
white-box,fgsm,White-box FGSM,Model B,Model B,12.0,2.0,10,10000,91.53999999999999,11.16,87.92877430631418
white-box,pgd,White-box PGD,Model B,Model B,12.0,2.0,10,10000,91.53999999999999,0.06999999999999999,99.92353069696308
white-box,deepfool,White-box DeepFool,Model B,Model B,12.0,2.0,10,10000,91.53999999999999,15.740000000000002,88.52960454446144
transfer,fgsm,Transfer FGSM,Model A,Model B,12.0,2.0,10,10000,91.53999999999999,28.67,69.34673366834171
transfer,pgd,Transfer PGD,Model A,Model B,12.0,2.0,10,10000,91.53999999999999,10.31,88.73716408127595
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,12.0,2.0,10,10000,91.53999999999999,4.279999999999999,95.33537251474765
white-box,fgsm,White-box FGSM,Model B,Model B,16.0,2.0,10,10000,91.53999999999999,10.61,88.60607384749835
white-box,pgd,White-box PGD,Model B,Model B,16.0,2.0,10,10000,91.53999999999999,0.02,99.97815162770374
white-box,deepfool,White-box DeepFool,Model B,Model B,16.0,2.0,10,10000,91.53999999999999,15.21,89.13043478260869
transfer,fgsm,Transfer FGSM,Model A,Model B,16.0,2.0,10,10000,91.53999999999999,21.15,77.59449421018134
transfer,pgd,Transfer PGD,Model A,Model B,16.0,2.0,10,10000,91.53999999999999,6.909999999999999,92.46231155778895
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,16.0,2.0,10,10000,91.53999999999999,2.25,97.55298230281844
