class,clean_correct_count,FGSM_success_count,FGSM_asr,PGD_success_count,PGD_asr,DeepFool_success_count,DeepFool_asr,total_success_count,mean_asr
cat,834,790,94.7242206235012,834,100.0,768,92.08633093525181,2392,95.603517186251
frog,937,848,90.50160085378869,937,100.0,846,90.2881536819637,2631,93.5965848452508
horse,928,833,89.76293103448276,915,98.59913793103449,836,90.08620689655173,2584,92.81609195402298
dog,877,816,93.04446978335234,876,99.8859749144812,747,85.17673888255416,2439,92.7023945267959
bird,878,774,88.15489749430525,878,100.0,782,89.06605922551253,2434,92.40698557327259
deer,921,840,91.20521172638436,921,100.0,790,85.77633007600434,2551,92.32718060079623
airplane,930,889,95.59139784946237,930,100.0,753,80.96774193548387,2572,92.1863799283154
ship,945,740,78.3068783068783,945,100.0,820,86.77248677248677,2505,88.35978835978835
automobile,963,682,70.82035306334372,952,98.85773624091381,890,92.41952232606438,2524,87.36587054344064
truck,941,748,79.48990435706695,940,99.89373007438896,702,74.60148777895856,2390,84.66170740347148
