source,target,source_model,target_model,attack,adaptive,attack_defense,eval_defense,bpda,eps,eps_255,alpha,alpha_255,steps,samples,clean_acc,adv_acc,asr,mean_linf,mean_l2,scenario
cnn,cnn,cnn,cnn,fgsm,False,none,none,False,0.00784313725490196,2.0,0.00784313725490196,2.0,10,10000,91.54,31.71,65.35940572427354,0.007843167521059513,0.4327804744243622,white
cnn,cnn,cnn,cnn,fgsm,False,none,none,False,0.01568627450980392,4.0,0.00784313725490196,2.0,10,10000,91.54,15.92,82.61961983832205,0.01568630337715149,0.8640084862709045,white
cnn,cnn,cnn,cnn,fgsm,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,11.97,86.95652173913044,0.03137258067727089,1.7233681678771973,white
cnn,cnn,cnn,cnn,fgsm,False,none,none,False,0.047058823529411764,12.0,0.00784313725490196,2.0,10,10000,91.54,11.16,87.92877430631418,0.0470588393509388,2.5783684253692627,white
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.00784313725490196,2.0,0.00784313725490196,2.0,10,10000,91.54,14.88,83.74481101157964,0.007843167521059513,0.3945409953594208,white
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.01568627450980392,4.0,0.00784313725490196,2.0,10,10000,91.54,1.63,98.21935765785449,0.01568630337715149,0.7515438795089722,white
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,0.23,99.74874371859296,0.03137258067727089,1.3594483137130737,white
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.047058823529411764,12.0,0.00784313725490196,2.0,10,10000,91.54,0.08,99.91260651081494,0.0470588393509388,1.85708749294281,white
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,1,10000,91.54,24.06,73.71640812759449,0.03137258067727089,1.0440175533294678,white_steps
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,3,10000,91.54,4.02,95.60847716845095,0.03137258067727089,1.1327027082443237,white_steps
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,5,10000,91.54,1.56,98.29582696089142,0.03137258067727089,1.222266435623169,white_steps
cnn,cnn,cnn,cnn,pgd,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,0.2,99.78151627703735,0.03137258067727089,1.3595194816589355,white_steps
cnn,cnn,cnn,cnn,deepfool,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,1.14,98.75464277911296,0.018215233460068703,0.17348019778728485,white
resnet,cnn,resnet,cnn,fgsm,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,38.96,57.73432379287743,0.03137258067727089,1.7232582569122314,transfer
resnet,cnn,resnet,cnn,pgd,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,20.62,77.49617653484816,0.03137258067727089,1.25892174243927,transfer
resnet,cnn,resnet,cnn,deepfool,False,none,none,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.54,88.93,2.8512125846624428,0.018203839659690857,0.1859929859638214,transfer
cnn,cnn_jpeg,cnn,cnn,fgsm,False,none,jpeg,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,84.04,27.2,67.83674440742503,0.03137258067727089,1.7233681678771973,defense_preprocess
cnn,cnn_squeeze,cnn,cnn,fgsm,False,none,squeeze,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.33,12.13,86.74039198510894,0.03137258067727089,1.7233681678771973,defense_preprocess
cnn,cnn_jpeg,cnn,cnn,pgd,False,none,jpeg,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,84.04,17.79,78.86720609233699,0.03137258067727089,1.3593709468841553,defense_preprocess
cnn,cnn_squeeze,cnn,cnn,pgd,False,none,squeeze,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.33,0.26,99.71531807730209,0.03137258067727089,1.35956871509552,defense_preprocess
cnn,cnn_jpeg,cnn,cnn,deepfool,False,none,jpeg,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,84.04,79.83,5.449785816277963,0.018215231597423553,0.17348018288612366,defense_preprocess
cnn,cnn_squeeze,cnn,cnn,deepfool,False,none,squeeze,False,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.33,71.31,21.92050804773897,0.018215233460068703,0.17348024249076843,defense_preprocess
cnn_jpeg,cnn_jpeg,cnn,cnn,pgd,True,jpeg,jpeg,True,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,84.04,2.64,96.8586387434555,0.03137258067727089,1.3734478950500488,adaptive
cnn_squeeze,cnn_squeeze,cnn,cnn,pgd,True,squeeze,squeeze,True,0.03137254901960784,8.0,0.00784313725490196,2.0,10,10000,91.33,0.32,99.64962224898719,0.03137258067727089,1.3441269397735596,adaptive
