experiment,attack_name,method_label,source_model,target_model,eps_255,alpha_255,steps,deepfool_steps,total_samples,clean_acc,adv_acc,asr
white-box,pgd,White-box PGD,Model B,Model B,8.0,2.0,1,1,10000,91.53999999999999,24.04,73.73825649989075
white-box,deepfool,White-box DeepFool,Model B,Model B,8.0,2.0,1,1,10000,91.53999999999999,72.97,23.487000218483722
transfer,pgd,Transfer PGD,Model A,Model B,8.0,2.0,1,1,10000,91.53999999999999,68.13,25.671837448110114
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,8.0,2.0,1,1,10000,91.53999999999999,74.49,18.65850994100939
white-box,pgd,White-box PGD,Model B,Model B,8.0,2.0,3,3,10000,91.53999999999999,3.88,95.76141577452479
white-box,deepfool,White-box DeepFool,Model B,Model B,8.0,2.0,3,3,10000,91.53999999999999,30.86,71.84837229626393
transfer,pgd,Transfer PGD,Model A,Model B,8.0,2.0,3,3,10000,91.53999999999999,39.7,56.67467773650863
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,8.0,2.0,3,3,10000,91.53999999999999,28.599999999999998,68.75682761634259
white-box,pgd,White-box PGD,Model B,Model B,8.0,2.0,5,5,10000,91.53999999999999,1.48,98.38322045007646
white-box,deepfool,White-box DeepFool,Model B,Model B,8.0,2.0,5,5,10000,91.53999999999999,20.630000000000003,83.17675333187677
transfer,pgd,Transfer PGD,Model A,Model B,8.0,2.0,5,5,10000,91.53999999999999,27.47,69.9912606510815
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,8.0,2.0,5,5,10000,91.53999999999999,14.57,84.08346078217173
white-box,pgd,White-box PGD,Model B,Model B,8.0,2.0,10,10,10000,91.53999999999999,0.24,99.73781953244483
white-box,deepfool,White-box DeepFool,Model B,Model B,8.0,2.0,10,10,10000,91.53999999999999,17.46,86.66156871313088
transfer,pgd,Transfer PGD,Model A,Model B,8.0,2.0,10,10,10000,91.53999999999999,20.21,77.9222197946253
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,8.0,2.0,10,10,10000,91.53999999999999,12.78,86.06073847498361
white-box,pgd,White-box PGD,Model B,Model B,8.0,2.0,20,20,10000,91.53999999999999,0.06999999999999999,99.92353069696308
white-box,deepfool,White-box DeepFool,Model B,Model B,8.0,2.0,20,20,10000,91.53999999999999,17.45,86.672492899279
transfer,pgd,Transfer PGD,Model A,Model B,8.0,2.0,20,20,10000,91.53999999999999,20.18,77.98776491151409
transfer,mi-fgsm,Transfer MI-FGSM,Model A,Model B,8.0,2.0,20,20,10000,91.53999999999999,12.920000000000002,85.89687568276163
